CODE,NAME
"253","ROWE"
"13","ASHFIELD"
"342","WILMINGTON"
"316","WEBSTER"
"107","GLOUCESTER"
"104","AQUINNAH"
"119","HAMILTON"
"19","AYER"
"290","SUTTON"
"151","LEICESTER"
"21","BARRE"
"276","SOUTHAMPTON"
"137","HOLYOKE"
"293","TAUNTON"
"181","METHUEN"
"155","LEXINGTON"
"116","GROVELAND"
"217","NORTHFIELD"
"301","TYNGSBOROUGH"
"93","EVERETT"
"25","BELLINGHAM"
"84","EAST BROOKFIELD"
"179","MENDON"
"152","LENOX"
"169","MARION"
"187","MILLIS"
"312","WARWICK"
"92","ESSEX"
"194","MONTGOMERY"
"334","WESTPORT"
"41","BREWSTER"
"176","MEDFORD"
"60","CHESTERFIELD"
"91","ERVING"
"215","NORTHBOROUGH"
"67","CONCORD"
"277","SOUTHBOROUGH"
"43","BRIMFIELD"
"141","HUDSON"
"95","FALL RIVER"
"195","MOUNT WASHINGTON"
"147","LANCASTER"
"235","PHILLIPSTON"
"42","BRIDGEWATER"
"166","MANCHESTER"
"294","TEMPLETON"
"201","NEW BEDFORD"
"317","WELLESLEY"
"175","MEDFIELD"
"330","WESTFORD"
"162","LUNENBURG"
"49","CAMBRIDGE"
"159","LONGMEADOW"
"121","HANCOCK"
"115","GROTON"
"126","HARWICH"
"83","EAST BRIDGEWATER"
"171","MARSHFIELD"
"64","CLINTON"
"291","SWAMPSCOTT"
"327","WEST TISBURY"
"245","RAYNHAM"
"150","LEE"
"149","LAWRENCE"
"78","DOVER"
"131","HINGHAM"
"254","ROWLEY"
"273","SOMERSET"
"197","NANTUCKET"
"262","SAUGUS"
"50","CANTON"
"266","SHARON"
"285","STOUGHTON"
"68","CONWAY"
"211","NORTH ATTLEBOROUGH"
"88","EASTON"
"190","MONROE"
"29","BERNARDSTON"
"232","PEPPERELL"
"203","NEW MARLBOROUGH"
"76","DIGHTON"
"243","QUINCY"
"31","BILLERICA"
"246","READING"
"145","KINGSTON"
"236","PITTSFIELD"
"48","BURLINGTON"
"170","MARLBOROUGH"
"208","NORFOLK"
"231","PEMBROKE"
"199","NEEDHAM"
"274","SOMERVILLE"
"133","HOLBROOK"
"177","MEDWAY"
"320","WENHAM"
"261","SANDWICH"
"258","SALEM"
"198","NATICK"
"311","WARREN"
"123","HANSON"
"1","ABINGTON"
"87","EASTHAMPTON"
"51","CARLISLE"
"10","ARLINGTON"
"223","ORANGE"
"279","SOUTHWICK"
"33","BLANDFORD"
"351","YARMOUTH"
"333","WESTON"
"214","NORTHAMPTON"
"122","HANOVER"
"134","HOLDEN"
"250","ROCHESTER"
"332","WESTMINSTER"
"58","CHESHIRE"
"3","ACUSHNET"
"18","AVON"
"153","LEOMINSTER"
"59","CHESTER"
"163","LYNN"
"256","RUSSELL"
"337","WHATELY"
"136","HOLLISTON"
"324","WEST NEWBURY"
"340","WILLIAMSBURG"
"183","MIDDLEFIELD"
"89","EDGARTOWN"
"82","DUXBURY"
"336","WEYMOUTH"
"26","BELMONT"
"168","MARBLEHEAD"
"117","HADLEY"
"114","GREENFIELD"
"73","DEDHAM"
"130","HEATH"
"216","NORTHBRIDGE"
"284","STONEHAM"
"196","NAHANT"
"259","SALISBURY"
"158","LITTLETON"
"257","RUTLAND"
"146","LAKEVILLE"
"348","WORCESTER"
"299","TOWNSEND"
"188","MILLVILLE"
"52","CARVER"
"209","NORTH ADAMS"
"238","PLAINVILLE"
"148","LANESBOROUGH"
"305","WAKEFIELD"
"343","WINCHENDON"
"185","MILFORD"
"346","WINTHROP"
"154","LEVERETT"
"283","STOCKBRIDGE"
"100","FRAMINGHAM"
"70","DALTON"
"345","WINDSOR"
"94","FAIRHAVEN"
"218","NORTON"
"178","MELROSE"
"224","ORLEANS"
"8","AMHERST"
"260","SANDISFIELD"
"186","MILLBURY"
"11","ASHBURNHAM"
"302","TYRINGHAM"
"39","BOYLSTON"
"124","HARDWICK"
"97","FITCHBURG"
"289","SUNDERLAND"
"206","NEWBURYPORT"
"144","IPSWICH"
"310","WAREHAM"
"240","PLYMPTON"
"222","OAKHAM"
"318","WELLFLEET"
"286","STOW"
"96","FALMOUTH"
"269","SHERBORN"
"23","BEDFORD"
"56","CHELMSFORD"
"315","WAYLAND"
"326","WEST STOCKBRIDGE"
"219","NORWELL"
"24","BELCHERTOWN"
"292","SWANSEA"
"164","LYNNFIELD"
"132","HINSDALE"
"85","EAST LONGMEADOW"
"167","MANSFIELD"
"138","HOPEDALE"
"275","SOUTH HADLEY"
"75","DENNIS"
"32","BLACKSTONE"
"225","OTIS"
"105","GEORGETOWN"
"264","SCITUATE"
"90","EGREMONT"
"17","AUBURN"
"14","ASHLAND"
"57","CHELSEA"
"135","HOLLAND"
"184","MIDDLETON"
"36","BOURNE"
"349","WORTHINGTON"
"103","GARDNER"
"81","DUNSTABLE"
"221","OAK BLUFFS"
"228","PAXTON"
"309","WARE"
"237","PLAINFIELD"
"111","GRANBY"
"108","GOSHEN"
"338","WHITMAN"
"69","CUMMINGTON"
"112","GRANVILLE"
"233","PERU"
"34","BOLTON"
"230","PELHAM"
"303","UPTON"
"265","SEEKONK"
"255","ROYALSTON"
"65","COHASSET"
"202","NEW BRAINTREE"
"157","LINCOLN"
"182","MIDDLEBOROUGH"
"272","SHUTESBURY"
"344","WINCHESTER"
"247","REHOBOTH"
"2","ACTON"
"44","BROCKTON"
"341","WILLIAMSTOWN"
"30","BEVERLY"
"329","WESTFIELD"
"72","DARTMOUTH"
"139","HOPKINTON"
"323","WEST BROOKFIELD"
"12","ASHBY"
"15","ATHOL"
"120","HAMPDEN"
"244","RANDOLPH"
"205","NEWBURY"
"118","HALIFAX"
"127","HATFIELD"
"296","TISBURY"
"268","SHELBURNE"
"308","WALTHAM"
"80","DUDLEY"
"99","FOXBOROUGH"
"79","DRACUT"
"140","HUBBARDSTON"
"27","BERKLEY"
"9","ANDOVER"
"98","FLORIDA"
"106","GILL"
"63","CLARKSBURG"
"288","SUDBURY"
"263","SAVOY"
"339","WILBRAHAM"
"210","NORTH ANDOVER"
"189","MILTON"
"61","CHICOPEE"
"173","MATTAPOISETT"
"229","PEABODY"
"212","NORTH BROOKFIELD"
"161","LUDLOW"
"4","ADAMS"
"287","STURBRIDGE"
"281","SPRINGFIELD"
"249","RICHMOND"
"71","DANVERS"
"40","BRAINTREE"
"322","WEST BRIDGEWATER"
"300","TRURO"
"125","HARVARD"
"280","SPENCER"
"234","PETERSHAM"
"86","EASTHAM"
"239","PLYMOUTH"
"270","SHIRLEY"
"313","WASHINGTON"
"193","MONTEREY"
"20","BARNSTABLE"
"200","NEW ASHFORD"
"172","MASHPEE"
"252","ROCKPORT"
"101","FRANKLIN"
"226","OXFORD"
"66","COLRAIN"
"271","SHREWSBURY"
"267","SHEFFIELD"
"55","CHATHAM"
"37","BOXBOROUGH"
"45","BROOKFIELD"
"109","GOSNOLD"
"242","PROVINCETOWN"
"22","BECKET"
"113","GREAT BARRINGTON"
"47","BUCKLAND"
"6","ALFORD"
"74","DEERFIELD"
"192","MONTAGUE"
"174","MAYNARD"
"331","WESTHAMPTON"
"102","FREETOWN"
"321","WEST BOYLSTON"
"306","WALES"
"297","TOLLAND"
"251","ROCKLAND"
"7","AMESBURY"
"28","BERLIN"
"347","WOBURN"
"295","TEWKSBURY"
"213","NORTH READING"
"319","WENDELL"
"314","WATERTOWN"
"278","SOUTHBRIDGE"
"54","CHARLTON"
"62","CHILMARK"
"298","TOPSFIELD"
"248","REVERE"
"142","HULL"
"156","LEYDEN"
"128","HAVERHILL"
"180","MERRIMAC"
"38","BOXFORD"
"204","NEW SALEM"
"165","MALDEN"
"350","WRENTHAM"
"16","ATTLEBORO"
"160","LOWELL"
"143","HUNTINGTON"
"282","STERLING"
"241","PRINCETON"
"307","WALPOLE"
"220","NORWOOD"
"335","WESTWOOD"
"207","NEWTON"
"35","BOSTON"
"46","BROOKLINE"
"191","MONSON"
"227","PALMER"
"53","CHARLEMONT"
"129","HAWLEY"
"77","DOUGLAS"
"304","UXBRIDGE"
"328","WESTBOROUGH"
"110","GRAFTON"
"325","WEST SPRINGFIELD"
"5","AGAWAM"
