CODE,NAME
"234","PETERSHAM"
"238","PLAINVILLE"
"243","QUINCY"
"251","ROCKLAND"
"264","SCITUATE"
"280","SPENCER"
"302","TYRINGHAM"
"225","OTIS"
"267","SHEFFIELD"
"215","NORTHBOROUGH"
"331","WESTHAMPTON"
"309","WARE"
"310","WAREHAM"
"313","WASHINGTON"
"320","WENHAM"
"321","WEST BOYLSTON"
"322","WEST BRIDGEWATER"
"330","WESTFORD"
"338","WHITMAN"
"340","WILLIAMSBURG"
"351","YARMOUTH"
"323","WEST BROOKFIELD"
"344","WINCHESTER"
"30","BEVERLY"
"31","BILLERICA"
"38","BOXFORD"
"39","BOYLSTON"
"4","ADAMS"
"6","ALFORD"
"8","AMHERST"
"11","ASHBURNHAM"
"12","ASHBY"
"17","AUBURN"
"18","AVON"
"21","BARRE"
"24","BELCHERTOWN"
"28","BERLIN"
"29","BERNARDSTON"
"33","BLANDFORD"
"34","BOLTON"
"36","BOURNE"
"37","BOXBOROUGH"
"44","BROCKTON"
"48","BURLINGTON"
"55","CHATHAM"
"58","CHESHIRE"
"59","CHESTER"
"63","CLARKSBURG"
"72","DARTMOUTH"
"75","DENNIS"
"77","DOUGLAS"
"13","ASHFIELD"
"2","ACTON"
"16","ATTLEBORO"
"20","BARNSTABLE"
"32","BLACKSTONE"
"35","BOSTON"
"54","CHARLTON"
"64","CLINTON"
"69","CUMMINGTON"
"82","DUXBURY"
"86","EASTHAM"
"92","ESSEX"
"81","DUNSTABLE"
"93","EVERETT"
"98","FLORIDA"
"112","GRANVILLE"
"113","GREAT BARRINGTON"
"124","HARDWICK"
"140","HUBBARDSTON"
"144","IPSWICH"
"154","LEVERETT"
"167","MANSFIELD"
"172","MASHPEE"
"182","MIDDLEBOROUGH"
"188","MILLVILLE"
"197","NANTUCKET"
"110","GRAFTON"
"129","HAWLEY"
"97","FITCHBURG"
"107","GLOUCESTER"
"109","GOSNOLD"
"290","SUTTON"
"169","MARION"
"179","MENDON"
"134","HOLDEN"
"299","TOWNSEND"
"200","NEW ASHFORD"
"205","NEWBURY"
"218","NORTON"
"224","ORLEANS"
"73","DEDHAM"
"87","EASTHAMPTON"
"91","ERVING"
"74","DEERFIELD"
"76","DIGHTON"
"45","BROOKFIELD"
"46","BROOKLINE"
"117","HADLEY"
"42","BRIDGEWATER"
